gene,Arab_Muslim,Ashkenazi,Jewish_Other,Middle_Eastern_Jewish,North_African_Jewish
CYFIP1,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
CYFIP2,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
CYP11B1,0.44924888347543646,0.7847517730496454,2.0154826958105643,0.9197838736492103,2.1824457593688362
CYP21A2,0.44924888347543646,0.7847517730496454,2.0154826958105643,0.9197838736492103,2.1824457593688362
CYP4V2,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DAXX,1.1552114146511223,0.672644376899696,1.7275565964090551,0.7883861774136088,0.9353338968723585
DDX41,0.3850704715503741,1.345288753799392,1.7275565964090551,1.5767723548272177,0.9353338968723585
DDX58,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DHCR7,0.7701409431007482,0.672644376899696,3.4551131928181102,0.7883861774136088,0.9353338968723585
DHDDS,0.2695493300852619,2.3542553191489364,2.4185792349726776,0.5518703241895262,0.654733727810651
DIAPH2,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DLC1,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DLG5,1.3477466504263094,0.5885638297872341,1.5116120218579234,0.6898379052369078,0.8184171597633136
DMD,0.44924888347543646,0.7847517730496454,2.0154826958105643,1.8395677472984207,1.0912228796844181
DMXL2,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DNM1,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DNMT3A,0.6738733252131547,1.7656914893617022,1.5116120218579234,0.6898379052369078,0.8184171597633136
DPAGT1,0.44924888347543646,0.7847517730496454,2.0154826958105643,0.9197838736492103,2.1824457593688362
DSC2,0.44924888347543646,0.7847517730496454,4.0309653916211285,0.9197838736492103,1.0912228796844181
DSPP,0.5390986601705238,0.9417021276595745,2.4185792349726776,0.5518703241895262,1.9642011834319528
DYNC2H1,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
DYRK1A,0.8984977669508729,0.7847517730496454,2.0154826958105643,0.9197838736492103,1.0912228796844181
