gene,module_id,module_qc_label,stability_score,classification
SPG11,1,LARGE_MODULE_1,0.9527272727272728,core
SPG7,1,LARGE_MODULE_1,0.9527272727272728,core
SPTLC1,1,LARGE_MODULE_1,0.9527272727272728,core
SRD5A3,2,MODULE_2,0.8270588235294118,core
ST3GAL5,1,LARGE_MODULE_1,0.6879999999999998,peripheral
STAMBP,4,MODULE_4,0.46080000000000004,peripheral
STN1,5,MODULE_5,0.9488000000000001,core
STX3,3,MODULE_3,0.5271428571428571,peripheral
SUMF1,4,MODULE_4,0.1232,unstable
TEAD1,0,LARGE_MODULE_0,0.896774193548387,core
TFG,1,LARGE_MODULE_1,0.9527272727272728,core
THRB,3,MODULE_3,0.7657142857142857,core
TIMM8A,1,LARGE_MODULE_1,0.9527272727272728,core
TIMP3,0,LARGE_MODULE_0,0.896774193548387,core
TINF2,2,MODULE_2,0.5388235294117647,peripheral
TLCD3B,0,LARGE_MODULE_0,0.896774193548387,core
TMEM126A,14,MODULE_14,0.8333333333333334,core
TMEM138,11,MODULE_11,0.998,core
TMEM216,11,MODULE_11,0.998,core
TMEM218,11,MODULE_11,0.998,core
TMEM231,11,MODULE_11,0.998,core
TMEM67,11,MODULE_11,0.998,core
TOPORS,11,MODULE_11,0.998,core
TPP1,1,LARGE_MODULE_1,0.9527272727272728,core
TRAF3IP1,3,MODULE_3,0.7657142857142857,core
TRAPPC12,1,LARGE_MODULE_1,0.9527272727272728,core
TREX1,2,MODULE_2,0.5352941176470589,peripheral
TRNT1,0,LARGE_MODULE_0,0.896774193548387,core
TRPM1,6,MODULE_6,0.9583333333333334,core
TSFM,13,MODULE_13,0.9171428571428573,core
TSPAN12,8,MODULE_8,0.23652173913043475,unstable
TTC8,9,MODULE_9,1.0,core
TTLL5,0,LARGE_MODULE_0,0.896774193548387,core
TTPA,1,LARGE_MODULE_1,0.9527272727272728,core
TUB,0,LARGE_MODULE_0,0.896774193548387,core
TUBB4B,12,MODULE_12,0.8906666666666666,core
TUBGCP4,0,LARGE_MODULE_0,0.896774193548387,core
TUBGCP6,8,MODULE_8,0.23652173913043475,unstable
TULP1,12,MODULE_12,0.8906666666666666,core
TYR,5,MODULE_5,0.9488000000000001,core
TYRP1,5,MODULE_5,0.9488000000000001,core
UBAP1L,14,MODULE_14,0.8333333333333334,core
UCHL1,1,LARGE_MODULE_1,0.9527272727272728,core
USH1C,16,MODULE_16,0.8577777777777778,core
USH1G,16,MODULE_16,0.8577777777777778,core
USH2A,16,MODULE_16,0.8577777777777778,core
VCAN,8,MODULE_8,0.23652173913043475,unstable
VPS13B,2,MODULE_2,0.8458823529411765,core
WDR19,4,MODULE_4,0.41759999999999997,peripheral
WFS1,9,MODULE_9,1.0,core
WHRN,16,MODULE_16,0.8577777777777778,core
YARS1,1,LARGE_MODULE_1,0.9163636363636365,core
ZFYVE26,1,LARGE_MODULE_1,0.9527272727272728,core
ZNF408,8,MODULE_8,0.23652173913043475,unstable
ZNF423,11,MODULE_11,0.998,core
ZNHIT3,4,MODULE_4,0.19840000000000002,unstable
