module_id,module_size,hpo_term,a_in_module_with_term,b_in_module_without_term,c_bg_with_term,d_bg_without_term,p_value,odds_ratio,freq_in_module,freq_in_bg,specificity_ratio,q_value,fdr_significant
12,16,HP:4000079,15,1,5,421,8.496731720523954e-23,1263.0,0.9375,0.011737089201877934,79.875,5.947712204366768e-22,True
12,16,HP:5200065,15,1,5,421,8.496731720523954e-23,1263.0,0.9375,0.011737089201877934,79.875,5.947712204366768e-22,True
10,23,HP:0003800,18,5,6,413,9.282450585161316e-23,247.8,0.782608695652174,0.014319809069212411,54.65217391304348,6.387584639958465e-22,True
10,23,HP:0002490,18,5,7,412,3.277627409101175e-22,211.88571428571427,0.782608695652174,0.016706443914081145,46.84472049689441,2.181502832942749e-21,True
10,23,HP:0030085,18,5,7,412,3.277627409101175e-22,211.88571428571427,0.782608695652174,0.016706443914081145,46.84472049689441,2.181502832942749e-21,True
10,23,HP:0004309,16,7,2,417,4.717991828558684e-22,476.57142857142856,0.6956521739130435,0.00477326968973747,145.7391304347826,3.0895236812819766e-21,True
6,25,HP:0030638,15,10,0,417,1.1320487697941926e-21,inf,0.6,0.0,600000.0,7.181434383381909e-21,True
6,25,HP:0031705,15,10,0,417,1.1320487697941926e-21,inf,0.6,0.0,600000.0,7.181434383381909e-21,True
9,24,HP:0001395,22,2,27,391,1.459830022430373e-21,159.2962962962963,0.9166666666666666,0.0645933014354067,14.191358024691356,9.11832290933433e-21,True
11,21,HP:0002084,20,1,25,396,2.9188633101072347e-21,316.8,0.9523809523809523,0.05938242280285035,16.038095238095238,1.7427330939757903e-20,True
11,21,HP:0011815,20,1,25,396,2.9188633101072347e-21,316.8,0.9523809523809523,0.05938242280285035,16.038095238095238,1.7427330939757903e-20,True
11,21,HP:0034237,20,1,25,396,2.9188633101072347e-21,316.8,0.9523809523809523,0.05938242280285035,16.038095238095238,1.7427330939757903e-20,True
6,25,HP:0007984,16,9,2,415,3.896410523798274e-21,368.8888888888889,0.64,0.004796163069544364,133.44,2.292670540089999e-20,True
11,21,HP:0000657,18,3,13,408,5.506301305076382e-21,188.30769230769232,0.8571428571428571,0.030878859857482184,27.75824175824176,3.193654756944301e-20,True
12,16,HP:0030211,15,1,9,417,7.101949050409092e-21,695.0,0.9375,0.02112676056338028,44.375,4.06111452741703e-20,True
10,23,HP:0003200,17,6,7,412,1.6460188214927415e-20,166.76190476190476,0.7391304347826086,0.016706443914081145,44.242236024844715,9.281717243417404e-20,True
6,25,HP:0030483,15,10,1,416,1.7715105104835588e-20,624.0,0.6,0.002398081534772182,250.20000000000002,9.852510510360614e-20,True
5,26,HP:0008034,22,4,25,391,2.1180763681290632e-20,86.02,0.8461538461538461,0.06009615384615385,14.08,1.1620797371086482e-19,True
6,25,HP:0030469,16,9,3,414,2.418447037449573e-20,245.33333333333334,0.64,0.007194244604316547,88.96,1.275181165200684e-19,True
6,25,HP:0030470,16,9,3,414,2.418447037449573e-20,245.33333333333334,0.64,0.007194244604316547,88.96,1.275181165200684e-19,True
6,25,HP:0030478,16,9,3,414,2.418447037449573e-20,245.33333333333334,0.64,0.007194244604316547,88.96,1.275181165200684e-19,True
5,26,HP:0001107,15,11,1,415,4.1778070652259936e-20,565.9090909090909,0.5769230769230769,0.002403846153846154,239.99999999999997,2.1746021390791713e-19,True
9,24,HP:0100259,20,4,21,397,1.0936536308485867e-19,94.52380952380952,0.8333333333333334,0.050239234449760764,16.58730158730159,5.620549039550964e-19,True
10,23,HP:0002572,14,9,1,418,1.1875191595141081e-19,650.2222222222222,0.6086956521739131,0.002386634844868735,255.04347826086956,6.026659734534099e-19,True
9,24,HP:0000548,21,3,28,390,1.500608983292875e-19,97.5,0.875,0.06698564593301436,13.0625,7.521570953295151e-19,True
11,21,HP:0002251,19,2,25,396,2.5901089639310576e-19,150.48,0.9047619047619048,0.05938242280285035,15.236190476190478,1.222772371344197e-18,True
11,21,HP:0004362,19,2,25,396,2.5901089639310576e-19,150.48,0.9047619047619048,0.05938242280285035,15.236190476190478,1.222772371344197e-18,True
11,21,HP:0012331,19,2,25,396,2.5901089639310576e-19,150.48,0.9047619047619048,0.05938242280285035,15.236190476190478,1.222772371344197e-18,True
11,21,HP:0025028,19,2,25,396,2.5901089639310576e-19,150.48,0.9047619047619048,0.05938242280285035,15.236190476190478,1.222772371344197e-18,True
11,21,HP:6000852,19,2,25,396,2.5901089639310576e-19,150.48,0.9047619047619048,0.05938242280285035,15.236190476190478,1.222772371344197e-18,True
9,24,HP:0002251,20,4,24,394,6.954376891461005e-19,82.08333333333333,0.8333333333333334,0.05741626794258373,14.51388888888889,3.102721997728756e-18,True
9,24,HP:0004362,20,4,24,394,6.954376891461005e-19,82.08333333333333,0.8333333333333334,0.05741626794258373,14.51388888888889,3.102721997728756e-18,True
9,24,HP:0012331,20,4,24,394,6.954376891461005e-19,82.08333333333333,0.8333333333333334,0.05741626794258373,14.51388888888889,3.102721997728756e-18,True
9,24,HP:0025028,20,4,24,394,6.954376891461005e-19,82.08333333333333,0.8333333333333334,0.05741626794258373,14.51388888888889,3.102721997728756e-18,True
9,24,HP:6000852,20,4,24,394,6.954376891461005e-19,82.08333333333333,0.8333333333333334,0.05741626794258373,14.51388888888889,3.102721997728756e-18,True
10,23,HP:0001427,14,9,2,417,9.31330955456716e-19,324.3333333333333,0.6086956521739131,0.00477326968973747,127.52173913043478,4.110003999080725e-18,True
12,16,HP:0007695,15,1,16,410,1.6068450149962882e-18,384.375,0.9375,0.03755868544600939,24.9609375,7.014828775145086e-18,True
15,11,HP:0007803,10,1,1,430,1.7058724122699959e-18,4300.0,0.9090909090909091,0.002320185614849188,391.8181818181818,7.367917014698067e-18,True
8,24,HP:0000541,20,4,26,392,2.172596622809272e-18,75.38461538461539,0.8333333333333334,0.06220095693779904,13.397435897435898,9.284991882742783e-18,True
10,23,HP:0007141,18,5,17,402,2.7569994827419454e-18,85.12941176470588,0.782608695652174,0.0405727923627685,19.289002557544755,1.1659810312429478e-17,True
10,23,HP:0000114,14,9,3,416,5.173527631183942e-18,215.7037037037037,0.6086956521739131,0.007159904534606206,85.01449275362319,2.1654146580007015e-17,True
10,23,HP:0000590,12,11,0,419,1.3542246613540006e-17,inf,0.5217391304347826,0.0,521739.1304347826,5.610359311323717e-17,True
12,16,HP:0007686,15,1,20,406,1.7207145207856263e-17,304.5,0.9375,0.046948356807511735,19.96875,7.056667630696609e-17,True
10,23,HP:0001269,14,9,4,415,2.282106580220921e-17,161.38888888888889,0.6086956521739131,0.00954653937947494,63.76086956521739,9.26535271569694e-17,True
12,16,HP:0001141,15,1,22,404,4.938236237068434e-17,275.45454545454544,0.9375,0.051643192488262914,18.15340909090909,1.9850731804453307e-16,True
10,23,HP:0000576,12,11,1,418,1.7189205120163109e-16,456.0,0.5217391304347826,0.002386634844868735,218.6086956521739,6.775550756103128e-16,True
10,23,HP:0001716,12,11,1,418,1.7189205120163109e-16,456.0,0.5217391304347826,0.002386634844868735,218.6086956521739,6.775550756103128e-16,True
10,23,HP:0003348,13,10,3,416,1.816489093414366e-16,180.26666666666668,0.5652173913043478,0.007159904534606206,78.94202898550724,6.957495961568232e-16,True
10,23,HP:0010915,13,10,3,416,1.816489093414366e-16,180.26666666666668,0.5652173913043478,0.007159904534606206,78.94202898550724,6.957495961568232e-16,True
10,23,HP:0010916,13,10,3,416,1.816489093414366e-16,180.26666666666668,0.5652173913043478,0.007159904534606206,78.94202898550724,6.957495961568232e-16,True
6,25,HP:0030329,17,8,15,402,2.4109620833196116e-16,56.95,0.68,0.03597122302158273,18.904000000000003,9.1481365030632e-16,True
1,56,HP:0002495,20,36,4,382,2.761059849010009e-16,53.05555555555556,0.35714285714285715,0.010362694300518135,34.464285714285715,1.0344642399346138e-15,True
10,23,HP:0000544,14,9,6,413,2.777256210661894e-16,107.07407407407408,0.6086956521739131,0.014319809069212411,42.507246376811594,1.0344642399346138e-15,True
15,11,HP:0025549,9,2,1,430,3.3505607714233986e-16,1935.0,0.8181818181818182,0.002320185614849188,352.6363636363637,1.2366615210889998e-15,True
15,11,HP:0025404,10,1,5,426,4.61774841526936e-16,852.0,0.9090909090909091,0.01160092807424594,78.36363636363636,1.6890142852246487e-15,True
10,23,HP:0007302,11,12,0,419,4.863923575363119e-16,inf,0.4782608695652174,0.0,478260.8695652174,1.7631722960691308e-15,True
