HPO_ID,hpo_name,target_count,bg_count,pct_target,pct_bg,p_value,odds_ratio,IC,depth,q_value
HP:0025509,Piezogenic pedal papules,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,7,1.0
HP:0025510,Nevus spilus,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,7,1.0
HP:0025512,Skin-colored papule,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025513,Scleral rupture,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,5,1.0
HP:0025515,Delayed thelarche,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,5,1.0
HP:0025516,Coronary-pulmonary artery fistula,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,10,1.0
HP:0025524,Palmoplantar scaling skin,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,7,1.0
HP:0025525,Scaling skin on fingertip,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025526,Psoriasiform lesion,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,7,1.0
HP:0025528,Annular cutaneous lesion,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,6,1.0
HP:0025530,Xanthomas of the palmar creases,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025532,Positive pathergy test,0,15,0.0,0.003177292946409659,0.6352354007768461,0.0,8.429894880595237,5,1.0
HP:0025534,Ocular melanocytosis,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,5,1.0
HP:0025540,Abnormal T cell subset distribution,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025550,Elevated circulating ribitol concentration,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025553,Periorbital ecchymosis with tarsal plate sparing,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,6,1.0
HP:0025572,Punctal stenosis,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,10,1.0
HP:0025575,Abnormal superior vena cava morphology,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,8,1.0
HP:0025584,Hypotropia,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,8,1.0
HP:0025586,Hypertropia,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,8,1.0
HP:0025592,Superior oblique muscle weakness,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025599,Inferior oblique muscle overaction,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025605,Lid lag on downgaze,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,10,1.0
HP:0025607,Upper eyelid entropion,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,10,1.0
HP:0025608,Cicatricial ectropion,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,10,1.0
HP:0025610,Posterior blepharitis,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,6,1.0
HP:0025612,Corneal astigmatism,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025615,Abscess,0,10,0.0,0.0021181952976064393,1.0,0.0,9.014857381316393,4,1.0
HP:0025616,Sterile abscess,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,5,1.0
HP:0025630,Argininosuccinic aciduria,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,8,1.0
HP:0025631,Alpha-aminobutyric aciduria,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025643,Tarlov cyst,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025646,Bilateral polymicrogyria,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,8,1.0
HP:0025650,Steroid-dependent nephrotic syndrome,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025660,Chiari type II malformation,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,10,1.0
HP:0025664,Moderate to late preterm birth,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,4,1.0
HP:0025670,Syntelencephaly,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025671,Fetal pericardial effusion,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,5,1.0
HP:0025672,Fetal skin edema,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0025676,Fetal pleural effusion,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,6,1.0
HP:0025677,Fetal chylothorax,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025680,Compound muscle action potential amplitude facilitation,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,8,1.0
HP:0025681,Distal clavicular thinning,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,9,1.0
HP:0025682,Crouch gait,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025693,Pituitary macroadenoma,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,7,1.0
HP:0025700,Anhydramnios,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,4,1.0
HP:0025706,Absent fetal nasal bone,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,7,1.0
HP:0025711,Convergence-retraction nystagmus,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025712,Spontaneous chorioamniotic separation,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,5,1.0
HP:0025721,Limited vertical extraocular movement,0,6,0.0,0.0012709171785638637,1.0,0.0,9.751822975482598,6,1.0
HP:0025724,Caseous vernix-like desquamation,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025732,Abnormal social development,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025734,Elevated urinary 5-hydroxyhexanoic acid level,0,3,0.0,0.0006354585892819318,1.0,0.0,10.751822975482598,7,1.0
HP:0025742,Elevated urine L-xylulose level,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025747,Tongue spasticity,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,9,1.0
HP:0025751,Reduced anterior scleral thickness,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,6,1.0
HP:0025770,2-3 finger osseus syndactyly,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,9,1.0
HP:0025809,Generalized scaling,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025810,Ichthyosis linearis circumflexa,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,8,1.0
HP:0025811,Trichorrhexis invaginata,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025813,Eyebrow scaling skin,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025815,Absent stratum granulosum of epidermis,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025816,Hypogranulosis,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025817,Psoriasiform acanthosis,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
HP:0025819,Palmoplantar peeling,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0025847,Fish allergy,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,8,1.0
HP:0030002,Nocturnal lagophthalmos,0,7,0.0,0.0014827367083245075,1.0,0.0,9.52943055414615,10,1.0
HP:0030004,Cicatricial lagophthalmos,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,10,1.0
HP:0030005,Capillary leak,0,2,0.0,0.00042363905952128787,1.0,0.0,11.336785476203755,6,1.0
HP:0030009,Cervical insufficiency,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,9,1.0
HP:0030011,Imperforate hymen,0,5,0.0,0.0010590976488032196,1.0,0.0,10.014857381316393,8,1.0
HP:0030021,Auricular tag,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0030022,Question mark ear,0,4,0.0,0.0008472781190425757,1.0,0.0,10.336785476203755,6,1.0
HP:0030025,Auricular pit,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,6,1.0
HP:0030026,Squared superior portion of helix,0,1,0.0,0.00021181952976064393,1.0,0.0,12.336785476203755,7,1.0
